#--------------------------------------------------------------------------------,
CAST                        ,,        8469286,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,CA-12845       ,,,
Originators Station ID      ,,              1,,,integer,
Originators Cruise ID       ,,3              ,,,
Latitude                    ,,        44.6708,decimal degrees,,
Longitude                   ,,         -63.60,decimal degrees,,
Year                        ,,           1971,,,
Month                       ,,              5,,,
Day                         ,,             19,,,
METADATA,
Country                     ,,             CA,NODC code,CANADA
Accession Number            ,,           369.,NODC code,,
Institute                   ,,           149.,NODC code,BEDFORD INSTITUTE OF OCEANOGRAPHY (DARTMOUTH; NOVA SCOTIA),
Bottom depth                ,,            24.,meters,,
Secchi disk depth           ,,            15.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             3.,WOD code,GODAR Project,
Original units        ,Oxygen,            37.,NODC code,mg-at/l,
Original units      ,Silicate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units       ,Nitrate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Measure method   ,Chlorophyll,           600.,WOD code,Fluoroscence,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,Silicate   ,F,O,Nitrate    ,F,O,pH         ,F,O,Ammonia    ,F,O,Chlorophyl ,F,O,Alkalinity ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,umol/l    ,, , ,ug/l      ,, , ,meq/l     ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,3, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        1.,0, ,     11.51,0, ,    21.442,0, ,      272.,0, ,      7.26,0, ,     0.020,0, ,      7.86,0, ,      1.04,0, ,      2.56,0, ,      1.67,0, ,
         2,        5.,0, ,     11.08,3, ,    23.071,0, ,      258.,0, ,      3.52,0, ,     0.068,0, ,      7.97,0, ,      1.07,0, ,      0.75,0, ,      1.76,0, ,
         3,       10.,0, ,      1.24,3, ,    27.367,0, ,      230.,0, ,      0.97,0, ,     0.039,0, ,      7.86,0, ,      8.25,0, ,      0.25,0, ,      2.13,0, ,
         4,       15.,0, ,      0.58,0, ,    28.156,0, ,      171.,0, ,      5.98,0, ,      4.46,0, ,      7.82,0, ,     20.04,0, ,      2.97,0, ,      2.31,0, ,
         5,       23.,0, ,      0.48,0, ,    28.240,0, ,      160.,0, ,      8.85,0, ,      4.18,0, ,      7.76,0, ,     21.60,0, ,      3.44,0, ,      2.36,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        8469287,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,CA-12845       ,,,
Originators Station ID      ,,              1,,,integer,
Originators Cruise ID       ,,3              ,,,
Latitude                    ,,        44.6708,decimal degrees,,
Longitude                   ,,         -63.60,decimal degrees,,
Year                        ,,           1971,,,
Month                       ,,              5,,,
Day                         ,,             26,,,
METADATA,
Country                     ,,             CA,NODC code,CANADA
Accession Number            ,,           369.,NODC code,,
Institute                   ,,           149.,NODC code,BEDFORD INSTITUTE OF OCEANOGRAPHY (DARTMOUTH; NOVA SCOTIA),
Bottom depth                ,,            24.,meters,,
Secchi disk depth           ,,            15.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             3.,WOD code,GODAR Project,
Original units        ,Oxygen,            37.,NODC code,mg-at/l,
Original units     ,Phosphate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units      ,Silicate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units       ,Nitrate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
